CON_ID,POLLING_BOOTH_ID,VOTER_ID,ENTRY_TIME,EXIT_TIME,CANDIDATE_VOTED,PARTY_VOTED
7,1326,AWW2290924,12:11:33,12:13:33,K. Divya Yadav,VUN
2,366,TPT7580394,16:33:18,16:36:18,Z. Manoj Sharma,VUN
7,1336,YJI9509230,14:38:24,14:40:24,C. Latha Singh,BIR
2,352,MMK6121553,12:50:19,12:52:19,Z. Manoj Sharma,VUN
3,687,DYZ9553815,08:39:31,08:42:31,A. Rahul Verma,MEX
1,151,HGD0932111,13:57:36,14:00:36,D. Kavya Das,RYX
5,1070,WCY1121089,11:00:54,11:03:54,D. Manoj Joshi,QOP
4,796,OMC7435547,11:08:00,11:09:00,Q. Radha Yadav,VUN
1,327,BRO9796426,13:27:29,13:29:29,D. Kavya Das,RYX
8,1397,YOT9575065,10:32:53,10:34:53,V. Sita Naidu,KEM
6,1234,VIJ9691569,08:41:14,08:44:14,U. Radha Singh,KEM
1,165,GCR1463297,15:32:27,15:34:27,M. Arun Singh,MEX
2,506,OSY5539769,13:08:00,13:11:00,Z. Manoj Sharma,VUN
3,603,TKD0849036,08:00:11,08:02:11,E. Latha Yadav,ZAR
8,1394,MRF7085685,16:51:18,16:54:18,Q. Kavya Naidu,ZAR
5,1090,LAK6356579,13:21:43,13:24:43,T. Lakshmi Verma,TIL
2,384,JBR3713034,09:23:58,09:26:58,Z. Manoj Sharma,VUN
1,93,FOU7411874,15:30:54,15:32:54,U. Anil Kumar,ZAR
3,635,FAF8139410,10:47:38,10:50:38,A. Rahul Verma,MEX
1,199,RMB2047239,16:10:29,16:13:29,M. Arun Singh,MEX
3,711,VAD8412743,08:18:06,08:19:06,A. Rahul Verma,MEX
1,306,EYI6022444,09:56:33,09:57:33,M. Arun Singh,MEX
8,1465,VCE4086031,15:46:48,15:49:48,N. Kiran Babu,WUF
1,99,VPU1755348,09:22:33,09:24:33,U. Anil Kumar,ZAR
1,260,KED9051093,08:51:36,08:54:36,D. Kavya Das,RYX
3,759,CSM3900961,16:30:54,16:31:54,A. Rahul Verma,MEX
5,1091,ZIN7800701,15:48:00,15:51:00,B. Vikram Babu,ZAR
5,1039,IWP0989022,10:52:04,10:54:04,T. Lakshmi Verma,TIL
2,388,GPM4746381,16:55:31,16:56:31,A. Priya Babu,WUF
1,191,UTW9445829,10:54:41,10:57:41,Q. Lakshmi Kumar,TIL
6,1242,CIQ7491823,11:35:33,11:36:33,U. Radha Singh,KEM
3,777,XEA5274021,12:06:11,12:07:11,B. Vikram Sharma,VUN
